#time	counts
28.9896352	1.5259E-05
29.0018568	0
29.0140784	0
29.0263	1.5259E-05
29.0385216	6.10361E-05
29.0507432	0
29.0629648	0
29.0751864	4.57771E-05
29.087408	4.57771E-05
29.0996296	3.0518E-05
29.1118512	3.0518E-05
29.1240728	1.5259E-05
29.1362944	1.5259E-05
29.148516	3.0518E-05
29.1607376	0
29.1729592	3.0518E-05
29.1851808	0
29.1974024	0
29.209624	0
29.2218456	1.5259E-05
29.2340672	4.57771E-05
29.2462888	4.57771E-05
29.2585104	0
29.270732	3.0518E-05
29.2829536	1.5259E-05
29.2951752	1.5259E-05
29.3073968	0
29.3196184	1.5259E-05
29.33184	4.57771E-05
29.3440616	1.5259E-05
29.3562832	1.5259E-05
29.3685048	3.0518E-05
29.3807264	1.5259E-05
29.392948	0
29.4051696	3.0518E-05
29.4173912	1.5259E-05
29.4296128	1.5259E-05
29.4418344	1.5259E-05
29.454056	3.0518E-05
29.4662776	3.0518E-05
29.4784992	0
29.4907208	0
29.5029424	0
29.515164	6.10361E-05
29.5273856	0
29.5396072	3.0518E-05
29.5518288	0
29.5640504	1.5259E-05
29.576272	1.5259E-05
29.5884936	3.0518E-05
29.6007152	4.57771E-05
29.6129368	0
29.6251584	1.5259E-05
29.63738	3.0518E-05
29.6496016	1.5259E-05
29.6618232	1.5259E-05
29.6740448	1.5259E-05
29.6862664	1.5259E-05
29.698488	3.0518E-05
29.7107096	1.5259E-05
29.7229312	3.0518E-05
29.7351528	3.0518E-05
29.7473744	1.5259E-05
29.759596	1.5259E-05
29.7718176	1.5259E-05
29.7840392	1.5259E-05
29.7962608	3.0518E-05
29.8084824	3.0518E-05
29.820704	6.10361E-05
29.8329256	6.10361E-05
29.8451472	0
29.8573688	1.5259E-05
29.8695904	1.5259E-05
29.881812	1.5259E-05
29.8940336	0
29.9062552	0
29.9184768	1.5259E-05
29.9306984	4.57771E-05
29.94292	3.0518E-05
29.9551416	0
29.9673632	3.0518E-05
29.9795848	1.5259E-05
29.9918064	3.0518E-05
30.004028	6.10361E-05
30.0162496	1.5259E-05
30.0284712	0
30.0406928	3.0518E-05
30.0529144	1.5259E-05
30.065136	3.0518E-05
30.0773576	0
30.0895792	1.5259E-05
30.1018008	1.5259E-05
30.1140224	3.0518E-05
30.126244	0
30.1384656	1.5259E-05
30.1506872	1.5259E-05
30.1629088	1.5259E-05
30.1751304	1.5259E-05
30.187352	0
30.1995736	3.0518E-05
30.2117952	0
30.2240168	4.57771E-05
30.2362384	0
30.24846	3.0518E-05
30.2606816	1.5259E-05
30.2729032	1.5259E-05
30.2851248	1.5259E-05
30.2973464	1.5259E-05
30.309568	0
30.3217896	1.5259E-05
30.3340112	3.0518E-05
30.3462328	1.5259E-05
30.3584544	3.0518E-05
30.370676	3.0518E-05
30.3828976	0
30.3951192	3.0518E-05
30.4073408	3.0518E-05
30.4195624	1.5259E-05
30.431784	1.5259E-05
30.4440056	4.57771E-05
30.4562272	1.5259E-05
30.4684488	1.5259E-05
30.4806704	0
30.492892	0
30.5051136	3.0518E-05
30.5173352	1.5259E-05
30.5295568	1.5259E-05
30.5417784	1.5259E-05
30.554	3.0518E-05
30.5662216	4.57771E-05
30.5784432	0
30.5906648	1.5259E-05
30.6028864	3.0518E-05
30.615108	1.5259E-05
30.6273296	0
30.6395512	0
30.6517728	0
30.6639944	6.10361E-05
30.676216	4.57771E-05
30.6884376	1.5259E-05
30.7006592	0
30.7128808	4.57771E-05
30.7251024	0
30.737324	1.5259E-05
30.7495456	1.5259E-05
30.7617672	1.5259E-05
30.7739888	0
30.7862104	1.5259E-05
30.798432	0
30.8106536	1.5259E-05
30.8228752	0
30.8350968	3.0518E-05
30.8473184	3.0518E-05
30.85954	7.62951E-05
30.8717616	3.0518E-05
30.8839832	0
30.8962048	0
30.9084264	1.5259E-05
30.920648	1.5259E-05
30.9328696	0
30.9450912	0
30.9573128	0
30.9695344	3.0518E-05
30.981756	1.5259E-05
30.9939776	3.0518E-05
31.0061992	3.0518E-05
31.0184208	1.5259E-05
31.0306424	0
31.042864	4.57771E-05
31.0550856	1.5259E-05
31.0673072	0
31.0795288	0
31.0917504	3.0518E-05
31.103972	3.0518E-05
31.1161936	4.57771E-05
31.1284152	1.5259E-05
31.1406368	1.5259E-05
31.1528584	1.5259E-05
31.16508	0
31.1773016	0
31.1895232	3.0518E-05
31.2017448	1.5259E-05
31.2139664	4.57771E-05
31.226188	0
31.2384096	0
31.2506312	1.5259E-05
31.2628528	0
31.2750744	1.5259E-05
31.287296	0
31.2995176	0
31.3117392	1.5259E-05
31.3239608	0
31.3361824	1.5259E-05
31.348404	1.5259E-05
31.3606256	1.5259E-05
31.3728472	1.5259E-05
31.3850688	0
31.3972904	1.5259E-05
31.409512	1.5259E-05
31.4217336	3.0518E-05
31.4339552	0
31.4461768	4.57771E-05
31.4583984	0
31.47062	3.0518E-05
31.4828416	3.0518E-05
31.4950632	0
31.5072848	1.5259E-05
31.5195064	0
31.531728	0
31.5439496	1.5259E-05
31.5561712	0
31.5683928	0
31.5806144	1.5259E-05
31.592836	1.5259E-05
31.6050576	0
31.6172792	1.5259E-05
31.6295008	0
31.6417224	3.0518E-05
31.653944	3.0518E-05
31.6661656	1.5259E-05
31.6783872	0
31.6906088	0
31.7028304	0
31.715052	1.5259E-05
31.7272736	1.5259E-05
31.7394952	1.5259E-05
31.7517168	0
31.7639384	0
31.77616	0
31.7883816	0
31.8006032	1.5259E-05
31.8128248	1.5259E-05
31.8250464	1.5259E-05
31.837268	1.5259E-05
31.8494896	1.5259E-05
31.8617112	3.0518E-05
31.8739328	1.5259E-05
31.8861544	0
31.898376	1.5259E-05
31.9105976	1.5259E-05
31.9228192	3.0518E-05
31.9350408	0
31.9472624	1.5259E-05
31.959484	4.57771E-05
31.9717056	1.5259E-05
31.9839272	0
31.9961488	1.5259E-05
32.0083704	3.0518E-05
32.020592	0
32.0328136	4.57771E-05
32.0450352	1.5259E-05
32.0572568	3.0518E-05
32.0694784	1.5259E-05
32.0817	0
32.0939216	3.0518E-05
32.1061432	0
32.1183648	0
32.1305864	0
32.142808	6.10361E-05
32.1550296	1.5259E-05
32.1672512	0
32.1794728	1.5259E-05
32.1916944	4.57771E-05
32.203916	0
32.2161376	3.0518E-05
32.2283592	1.5259E-05
32.2405808	3.0518E-05
32.2528024	1.5259E-05
32.265024	3.0518E-05
32.2772456	1.5259E-05
32.2894672	1.5259E-05
32.3016888	3.0518E-05
32.3139104	0
32.326132	0
32.3383536	1.5259E-05
32.3505752	1.5259E-05
32.3627968	3.0518E-05
32.3750184	0
32.38724	1.5259E-05
32.3994616	0
32.4116832	3.0518E-05
32.4239048	3.0518E-05
32.4361264	3.0518E-05
32.448348	3.0518E-05
32.4605696	3.0518E-05
32.4727912	4.57771E-05
32.4850128	3.0518E-05
32.4972344	3.0518E-05
32.509456	4.57771E-05
32.5216776	0
32.5338992	1.5259E-05
32.5461208	1.5259E-05
32.5583424	0
32.570564	3.0518E-05
32.5827856	1.5259E-05
32.5950072	0
32.6072288	0
32.6194504	6.10361E-05
32.631672	0
32.6438936	1.5259E-05
32.6561152	4.57771E-05
32.6683368	3.0518E-05
32.6805584	1.5259E-05
32.69278	0
32.7050016	0
32.7172232	3.0518E-05
32.7294448	1.5259E-05
32.7416664	1.5259E-05
32.753888	0
32.7661096	0
32.7783312	1.5259E-05
32.7905528	3.0518E-05
32.8027744	3.0518E-05
32.814996	0
32.8272176	1.5259E-05
32.8394392	0
32.8516608	0
32.8638824	0
32.876104	0
32.8883256	0
32.9005472	1.5259E-05
32.9127688	1.5259E-05
32.9249904	0
32.937212	0
32.9494336	1.5259E-05
32.9616552	0
32.9738768	1.5259E-05
32.9860984	0
32.99832	1.5259E-05
33.0105416	3.0518E-05
33.0227632	3.0518E-05
33.0349848	0
33.0472064	0
33.059428	1.5259E-05
33.0716496	0
33.0838712	1.5259E-05
33.0960928	4.57771E-05
33.1083144	0
33.120536	1.5259E-05
33.1327576	0
33.1449792	4.57771E-05
33.1572008	0
33.1694224	0
33.181644	1.5259E-05
33.1938656	1.5259E-05
33.2060872	0
33.2183088	0
33.2305304	0
